iid,gender,age,imprace,imprelig,goal,date,go_out,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,exphappy
478,0,26,4,4,1,4,1,9,7,9,7,7,9,9,3,3,8,4,7,9,8,9,4,6,4
479,0,27,3,3,1,4,3,10,7,10,9,8,7,9,1,7,5,4,7,7,7,7,7,7,6
480,0,26,4,6,1,4,1,7,1,8,9,9,9,3,1,6,10,3,3,4,4,4,5,7,4
496,0,23,1,1,1,5,2,8,1,8,7,7,7,8,1,1,7,3,3,3,5,5,5,5,5
497,0,24,5,5,1,7,1,7,5,1,8,7,6,7,3,1,7,8,6,9,9,8,8,7,6
498,0,25,9,9,1,4,1,3,1,5,7,3,3,6,6,9,8,9,6,8,8,8,3,1,5
499,0,26,1,9,5,4,1,1,1,1,9,9,9,2,1,8,9,6,8,10,10,10,5,1,4
500,0,25,7,9,1,5,3,4,2,6,7,7,7,2,2,7,8,5,7,8,8,8,6,5,6
501,0,26,7,4,5,4,3,5,4,8,8,9,9,6,1,3,9,7,9,9,9,10,7,6,7
509,0,28,2,2,2,4,2,6,3,6,7,7,7,3,3,4,6,4,4,8,5,7,7,7,6
510,0,26,3,3,2,7,2,8,1,4,10,8,7,10,5,7,9,1,3,9,7,5,1,7,5
511,0,23,2,2,2,7,3,6,5,5,7,8,10,10,3,9,8,5,8,9,9,10,7,8,6
512,0,26.12639405,1,1,1,3,2,1,1,1,8,9,10,8,0,9,9,6,10,9,7,10,5,5,5.179104478
513,0,23,1,1,2,6,4,1,1,9,9,9,9,1,0,8,9,8,9,10,6,8,6,6,2
514,0,23,8,9,2,4,3,5,3,7,7,8,10,2,2,1,8,6,10,8,9,10,6,7,7
515,0,23,8,5,1,6,3,10,10,8,9,9,8,10,3,8,9,8,9,10,7,10,5,9,6
516,0,27,9,3,2,6,3,3,3,6,10,9,9,5,5,8,9,6,9,4,9,9,9,3,2
517,0,30,1,1,5,5,3,2,1,9,9,6,8,4,1,2,9,3,10,8,4,4,3,9,3
518,0,23,2,1,5,7,2,4,2,5,8,6,7,5,5,9,9,8,8,8,6,8,9,4,2
519,0,26,8,9,2,4,2,9,5,9,5,8,7,7,2,3,9,4,7,8,7,8,2,2,6
520,0,28,2,1,1,7,1,4,6,8,8,10,8,5,2,9,10,8,9,8,5,5,8,2,5
521,0,26,3,1,1,3,1,7,7,8,8,8,8,10,7,5,8,6,7,8,8,8,6,6,6
522,0,22,3,6,1,6,2,6,6,6,7,8,9,3,3,7,9,8,10,10,7,7,5,3,5
523,0,27,3,2,2,4,3,8,1,5,9,4,3,6,7,8,13,5,2,7,8,9,3,1,9
524,0,25,9,6,2,7,4,4,1,7,9,8,8,6,3,8,7,7,8,8,5,5,7,5,6
525,0,24,2,8,2,4,1,6,2,8,6,5,5,3,2,1,8,8,9,10,7,8,8,1,6
526,0,26,5,2,1,5,3,2,1,3,10,10,7,6,5,10,8,4,10,8,6,8,4,10,6
527,0,24,5,5,1,4,3,5,5,1,8,7,7,6,2,7,6,6,8,7,8,8,7,6,1
528,0,29,8,7,2,6,1,5,8,4,2,2,2,8,6,2,2,2,3,7,3,3,2,2,4
529,0,22,4,1,2,4,1,7,4,6,10,8,8,8,6,5,5,5,8,8,8,8,4,4,5
530,0,22,1,1,2,7,3,7,10,5,6,3,8,6,7,6,3,5,8,10,9,10,6,3,8
